px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
182.489	35.7331	2.7063	0.227818	-0.037795	182.047	36.2626	182.292	35.8114	2.42515	0.611338	2.66725
184.793	36.5163	2.54302	0.333516	0.0583001	184.732	36.5155	184.73	36.37	2.36226	0.487877	0.838514
184.761	36.5175	2.44852	0.348792	0.0793938	184.833	36.1451	184.73	36.37	2.36226	0.487877	0.630559
186.975	36.9732	2.3342	0.200069	-0.069649	186.946	36.9404	187.103	36.804	2.29017	0.365145	0.68925
187.029	36.9832	2.39454	0.193845	-0.0746638	187.296	36.9375	187.103	36.804	2.29017	0.365145	0.908772
189.426	37.3969	2.50302	0.139116	-0.0597906	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.299372
189.436	37.3957	2.44241	0.135334	-0.0642394	189.738	36.951	189.401	37.1147	2.20928	0.245623	1.06224
191.745	37.5673	2.41441	0.034799	-0.088259	191.735	37.5631	191.615	37.3064	2.12038	0.131592	0.030304
191.702	37.5528	2.32201	0.0195353	-0.107629	191.682	37.1147	191.615	37.3064	2.12038	0.131592	0.617716
193.577	37.2897	2.03427	-0.20786	-0.194671	193.471	37.2789	193.738	37.3854	2.02462	0.0250453	2.26842
193.587	37.2969	2.06655	-0.193639	-0.176254	193.555	37.4234	193.738	37.3854	2.02462	0.0250453	0.0950522
195.902	37.3693	2.24637	0.0928077	0.136881	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	2.85878
195.808	37.3596	2.08076	0.0626075	0.108446	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	2.33544
197.736	37.7219	2.04717	0.259187	0.164706	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	0.0733145
197.689	37.7155	1.98057	0.258637	0.165624	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0.588838
199.391	37.3746	1.64199	-0.155338	-0.18939	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	4.95923
199.389	37.3789	1.65622	-0.146862	-0.179215	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0.0439914
201.409	37.0086	2.04376	-0.239544	-0.100957	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	3.85227
201.323	36.976	1.9257	-0.308688	-0.169603	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	1.89986
202.983	36.4407	1.84153	-0.377574	-0.112206	202.962	36.4568	202.801	36.4213	1.50137	-0.353671	0.191615
202.929	36.4214	1.76005	-0.433037	-0.174286	202.65	37.2445	202.801	36.4213	1.50137	-0.353671	0.770311
204.102	36.1197	1.32907	-0.38496	-0.0554683	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	4.12645
204.097	36.1142	1.40145	-0.354084	-0.00722541	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	1.65566
